date,score,position,size,daily_return,capital
2025-12-04,20,-1,0.5,-0.012065612502174633,9879.343874978254
2025-12-05,75,0,0.0,-0.002,9859.585187228298
2025-12-08,75,0,0.0,-0.0,9859.585187228298
2025-12-09,60,0,0.0,-0.0,9859.585187228298
2025-12-10,25,0,0.0,0.0,9859.585187228298
2025-12-11,45,0,0.0,-0.0,9859.585187228298
2025-12-12,80,1,0.5,-0.007903528968096919,9781.65967008762
2025-12-15,25,0,0.0,-0.002,9762.096350747444
2025-12-16,30,0,0.0,-0.0,9762.096350747444
2025-12-17,30,0,0.0,0.0,9762.096350747444
2025-12-18,20,-1,0.5,0.010108020624762556,9860.77182200172
2025-12-19,75,0,0.0,-0.002,9841.050278357716
2025-12-22,20,-1,0.5,-0.023864440537409805,9606.199119164188
2025-12-23,55,0,0.0,-0.002,9586.98672092586
2025-12-24,70,0,0.0,-0.0,9586.98672092586
2025-12-26,70,0,0.0,-0.0,9586.98672092586
2025-12-29,30,0,0.0,0.0,9586.98672092586
2025-12-30,25,0,0.0,0.0,9586.98672092586
2025-12-31,75,0,0.0,-0.0,9586.98672092586
2026-01-02,70,0,0.0,-0.0,9586.98672092586
2026-01-05,25,0,0.0,0.0,9586.98672092586
2026-01-06,45,0,0.0,-0.0,9586.98672092586
2026-01-07,75,0,0.0,-0.0,9586.98672092586
2026-01-08,30,0,0.0,0.0,9586.98672092586
2026-01-09,30,0,0.0,0.0,9586.98672092586
2026-01-12,85,1,1.0,0.01842893295632226,9763.664656458954
2026-01-13,80,1,1.0,0.047742251323958165,10229.803988330466
2026-01-14,50,0,0.0,-0.002,10209.344380353805
2026-01-15,80,1,0.5,-0.021570437571577943,9989.124354750644
2026-01-16,50,0,0.0,-0.002,9969.146106041142
2026-01-20,25,0,0.0,0.0,9969.146106041142
2026-01-21,75,0,0.0,0.0,9969.146106041142
2026-01-22,50,0,0.0,-0.0,9969.146106041142
2026-01-23,80,1,0.5,0.024720452175838827,10215.587905589482
2026-01-26,45,0,0.0,-0.002,10195.156729778302
2026-01-27,75,0,0.0,0.0,10195.156729778302
2026-01-28,50,0,0.0,0.0,10195.156729778302
2026-01-29,75,0,0.0,0.0,10195.156729778302
2026-01-30,75,0,0.0,0.0,10195.156729778302
2026-02-02,85,1,1.0,-0.09342208966151648,9242.70388365574
2026-02-03,80,1,1.0,0.051196441838496524,9715.897435465768
2026-02-04,30,0,0.0,-0.002,9696.465640594835
2026-02-05,75,0,0.0,-0.0,9696.465640594835
2026-02-06,75,0,0.0,0.0,9696.465640594835
2026-02-09,30,0,0.0,0.0,9696.465640594835
2026-02-10,80,1,0.5,-0.0019971171589416984,9677.100662682915
2026-02-11,75,1,0.5,0.008706611273704345,9761.355416409402
2026-02-12,55,1,0.5,-0.030742626805811697,9461.265709723839
2026-02-13,75,1,0.5,-0.0027800612525148705,9434.962811524489
2026-02-17,25,0,0.0,-0.002,9416.09288590144
2026-02-18,50,0,0.0,0.0,9416.09288590144
2026-02-19,30,0,0.0,0.0,9416.09288590144
2026-02-20,85,1,1.0,-0.011635495531963193,9306.531979198984
2026-02-23,80,1,1.0,0.0024237799030921766,9329.088964377652
2026-02-24,30,0,0.0,-0.002,9310.430786448896
2026-02-25,80,1,0.5,-0.013159994953647806,9187.90556428294
2026-02-26,30,0,0.0,-0.002,9169.529753154375
2026-02-27,30,0,0.0,0.0,9169.529753154375
2026-03-02,75,0,0.0,0.0,9169.529753154375
2026-03-03,75,0,0.0,0.0,9169.529753154375
2026-03-04,85,1,1.0,0.023747422100801996,9387.282446668394
2026-03-05,55,1,1.0,0.0931230139952295,10261.454481326668
2026-03-06,60,1,1.0,0.12,11492.829019085868
2026-03-09,75,1,1.0,-0.074480248245521,10636.840260701025
2026-03-10,75,1,1.0,0.02629093994043207,10916.492789151085
2026-03-11,35,0,0.0,-0.002,10894.659803572784
2026-03-12,60,0,0.0,0.0,10894.659803572784
2026-03-13,80,1,0.5,0.008747306146476622,10989.958728236348
